0BN1   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0CN1   2GD0   0CN3   0FN2   0BN2
0FN1   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0CN1   1ED0   0CN3   0AN0   0FN3
0FN1   0DN1   0CN2   0CN2   0CN2   0CN2   0CN2   0CN2   0CN2   0CN2   0XN0   1ED0   0CN3   0AN0   0FN3
0FN1   0CN1   1ED0   1EL0   1EL0   1EL0   1EL0   1EL0   1EL0   1EL0   1EL0   1EL0   0CN3   0AN0   0FN3
0FN1   0CN1   1ED0   0XN2   0CN0   0CN0   0CN0   0CN0   0CN0   0CN0   0CN0   0CN0   0DN3   0AN0   0FN3
0FN1   0CN1   1ED0   0CN3   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0FN3
0FN1   0CN1   1ED0   0CN3   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0FN3
0FN1   0CN1   1ED0   0CN3   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0FN3
0FN1   0CN1   1ED0   0XN1   0CN2   0CN2   0CN2   0CN2   0CN2   0CN2   0CN2   0CN2   0DN2   0AN0   0FN3
0FN1   0CN1   1ER0   1ER0   1ER0   1ER0   1ER0   1ER0   1ER0   1ER0   1ER0   1ED0   0CN3   0AN0   0FN3
0FN1   0DN0   0CN0   0CN0   0CN0   0CN0   0CN0   0CN0   0CN0   0CN0   0XN3   1ED0   0CN3   0AN0   0FN3
0FN1   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0CN1   1ED0   0CN3   0AN0   0FN3
0FN1   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0CN1   1ED0   0CN3   0AN0   0FN3
0FN1   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0CN1   1ED0   0CN3   0AN0   0FN3
0BN0   0FN0   0FN0   0FN0   0FN0   0FN0   0FN0   0FN0   0FN0   0FN0   0CN1   3JD0   0CN3   0FN0   0BN3
