2GD0   0CN3   0CN1   3JU0   0CN3   0AN0   0CN1   2GD0   0CN3   0AN0   0CN1   3JU0   0CN3   0CN1   2ED0
1ED0   0CN3   0CN1   1EU0   0CN3   0AN0   0CN1   1ED0   0CN3   0AN0   0CN1   1EU0   0CN3   0CN1   1ED0
1ED0   0CN3   0CN1   1EU0   0CN3   0AN0   0CN1   1ED0   0CN3   0AN0   0CN1   1EU0   0CN3   0CN1   1ED0
1ED0   0CN3   0CN1   1EU0   0CN3   0AN0   0CN1   1ED0   0CN3   0AN0   0CN1   1EU0   0CN3   0CN1   1ED0
1ED0   0CN3   0CN1   1EU0   0CN3   0AN0   0CN1   1ED0   0CN3   0AN0   0CN1   1EU0   0CN3   0CN1   1ED0
1ED0   0CN3   0CN1   1EU0   0CN3   0AN0   0CN1   1ED0   0CN3   0AN0   0CN1   1EU0   0CN3   0CN1   1ED0
1ED0   0CN3   0CN1   1EU0   0CN3   0AN0   0CN1   1ED0   0CN3   0AN0   0CN1   1EU0   0CN3   0CN1   1ED0
1ED0   0CN3   0CN1   1EU0   0CN3   0AN0   0CN1   1ED0   0CN3   0AN0   0CN1   1EU0   0CN3   0CN1   1ED0
1ED0   0CN3   0CN1   1EU0   0CN3   0AN0   0CN1   1ED0   0CN3   0AN0   0CN1   1EU0   0CN3   0CN1   1ED0
1ED0   0CN3   0CN1   1EU0   0CN3   0AN0   0CN1   1ED0   0CN3   0AN0   0CN1   1EU0   0CN3   0CN1   1ED0
1ED0   0CN3   0CN1   1EU0   0CN3   0AN0   0CN1   1ED0   0CN3   0AN0   0CN1   1EU0   0CN3   0CN1   1ED0
1ED0   0CN3   0CN1   1EU0   0CN3   0AN0   0CN1   1ED0   0CN3   0AN0   0CN1   1EU0   0CN3   0CN1   1ED0
1ED0   0CN3   0CN1   1EU0   0CN3   0AN0   0CN1   1ED0   0CN3   0AN0   0CN1   1EU0   0CN3   0CN1   1ED0
1ED0   0CN3   0CN1   1EU0   0CN3   0AN0   0CN1   1ED0   0CN3   0AN0   0CN1   1EU0   0CN3   0CN1   1ED0
3JD0   0CN3   0CN1   2GU0   0CN3   0AN0   0CN1   3JD0   0CN3   0AN0   0CN1   2GU0   0CN3   0CN1   3JD0
