0AN0   3JU0   0AN0   3JU0   0AN0   3JU0   0AN0   3JU0   0AN0   3JU0   0AN0   3JU0   0AN0   3JU0   0AN0
0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0
0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0
0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0
0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0
0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0
0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0
0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0
0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0
0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0
0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0
0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0
0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0
0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0
0AN0   2GU0   0AN0   2GU0   0AN0   2GU0   0AN0   2GU0   0AN0   2GU0   0AN0   2GU0   0AN0   2GU0   0AN0
