0BN1   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0BN2
0FN1   0DN1   0CN2   0CN2   0CN2   0CN2   0CN2   0AN0   0CN2   0CN2   0CN2   0CN2   0CN2   0DN2   0FN3
0FN1   0CN1   1ED2   1EL3   1EL3   1EL3   1EL3   0AN0   1ER1   1ER1   1ER1   1ER1   1ED2   0CN3   0FN3
0FN1   0CN1   1ED2   0XN2   0CN0   0XN3   1EU0   0AN0   1EU0   0XN2   0CN0   0XN3   1ED2   0CN3   0FN3
0FN1   0CN1   1ED2   0CN3   0AN0   0CN1   1EU0   0AN0   1EU0   0CN3   0AN0   0CN1   1ED2   0CN3   0FN3
0FN1   0CN1   1ED2   0CN3   0AN0   0CN1   1EU0   0AN0   1EU0   0CN3   0AN0   0CN1   1ED2   0CN3   0FN3
0FN1   0CN1   1ED2   0CN3   0AN0   0CN1   1EU0   0AN0   1EU0   0CN3   0AN0   0CN1   1ED2   0CN3   0FN3
0FN1   0CN1   1ED2   0CN3   0AN0   0CN1   1EU0   0AN0   1EU0   0CN3   0AN0   0CN1   1ED2   0CN3   0FN3
0FN1   0CN1   1ED2   0CN3   0AN0   0CN1   2GU0   0AN0   2GU0   0CN3   0AN0   0CN1   1ED2   0CN3   0FN3
0FN1   0CN1   1ED2   0CN3   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0CN1   1ED2   0CN3   0FN3
0FN1   0CN1   1ED2   0XN1   0CN2   0CN2   0CN2   0CN2   0CN2   0CN2   0CN2   0XN0   1ED2   0CN3   0FN3
0FN1   0CN1   1ER1   1ER1   1ER1   1ER1   1ER1   1ED2   1EL3   1EL3   1EL3   1EL3   1EL3   0CN3   0FN3
0FN1   0DN0   0CN0   0CN0   0CN0   0CN0   0XN3   1ED2   0XN2   0CN0   0CN0   0CN0   0CN0   0DN3   0FN3
0FN1   0AN0   0AN0   0AN0   0AN0   0AN0   0CN1   1ED2   0CN3   0AN0   0AN0   0AN0   0AN0   0AN0   0FN3
0BN0   0FN0   0FN0   0FN0   0FN0   0FN0   0CN1   3JD2   0CN3   0FN0   0FN0   0FN0   0FN0   0FN0   0BN3
