0BN1   3JU0   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0FN2   0BN2
0FN1   1EU0   0AN0   1ER1   1ER1   1ER1   1ER1   1ER1   1ER1   1ER1   1ER1   1ER1   1ER1   1ED2   0FN3
0FN1   1EU0   0AN0   1EU0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   1ED2   0FN3
0FN1   1EU0   0AN0   1EU0   0AN0   1ER1   1ER1   1ER1   1ER1   1ER1   1ER1   1ED2   0AN0   1ED2   0FN3
0FN1   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   0AN0   0AN0   0AN0   0AN0   1ED2   0AN0   1ED2   0FN3
0FN1   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1ER1   1ER1   1ED2   0AN0   1ED2   0AN0   1ED2   0FN3
0FN1   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   1ED2   0AN0   1ED2   0AN0   1ED2   0FN3
0FN1   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   2GU0   0AN0   1ED2   0AN0   1ED2   0AN0   1ED2   0FN3
0FN1   1EU0   0AN0   1EU0   0AN0   1EU0   0AN0   0AN0   0AN0   1ED2   0AN0   1ED2   0AN0   1ED2   0FN3
0FN1   1EU0   0AN0   1EU0   0AN0   1EU0   1EL3   1EL3   1EL3   1EL3   0AN0   1ED2   0AN0   1ED2   0FN3
0FN1   1EU0   0AN0   1EU0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   1ED2   0AN0   1ED2   0FN3
0FN1   1EU0   0AN0   1EU0   1EL3   1EL3   1EL3   1EL3   1EL3   1EL3   1EL3   1EL3   0AN0   1ED2   0FN3
0FN1   1EU0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   0AN0   1ED2   0FN3
0FN1   1EU0   1EL3   1EL3   1EL3   1EL3   1EL3   1EL3   1EL3   1EL3   1EL3   1EL3   1EL3   1EL3   0FN3
0BN0   0FN0   0FN0   0FN0   0FN0   0FN0   0FN0   0FN0   0FN0   0FN0   0FN0   0FN0   0FN0   0FN0   0BN3
